year,age,hiv_neg,hiv_pos_k,hiv_pos_uk,syph_pos,dead,dead_nhiv,dead_hiv,maternal_hiv_treatment_costs,syph_dalys,dw_HIV_k,dw_HIV_uk,test
0,22,1503942.74,61066.84608,62053.51224,25334.04585,4406.901789,4406.901789,0,7466307.873,1013.361834,0.10068,0.3048,no test
1,23,1476218.358,59837.06334,81889.02941,NA,13525.54891,13525.54891,0,7315949.092,NA,0.10068,0.3048,no test
2,24,1473860.193,123558.3426,16216.95485,NA,17820.09606,15102.15455,2717.941514,15106799.93,NA,0.10068,0.3048,no test
3,25,1471085.505,134858.8088,3342.371518,NA,22156.58069,17096.75313,5059.827562,16488445.87,NA,0.10068,0.3048,no test
4,26,1468316.042,135841.6835,810.308033,NA,26462.93651,19087.59668,7375.339829,16608616.56,NA,0.10068,0.3048,no test
5,27,1465551.792,134815.2242,312.0920017,NA,30739.58826,21074.69227,9664.895982,16483117.01,NA,0.10068,0.3048,no test
6,28,1462792.746,133412.9155,213.8307236,NA,34986.9537,23058.04696,11928.90674,16311664.44,NA,0.10068,0.3048,no test
7,29,1460038.894,131955.6599,194.2207172,NA,39205.44376,25037.66779,14167.77597,16133493.8,NA,0.10068,0.3048,no test
8,30,1456593.198,130304.9994,189.7123053,NA,44293.22818,27710.95958,16582.26859,15931676.6,NA,0.10068,0.3048,no test
9,31,1453155.635,128679.5227,188.4693732,NA,49344.46226,30377.9424,18966.51985,15732938.49,NA,0.10068,0.3048,no test
10,32,1449726.183,127081.3378,187.8684488,NA,54359.68067,33038.63113,21321.04954,15537537.21,NA,0.10068,0.3048,no test
11,33,1446304.826,125510.4537,187.394422,NA,59339.40866,35693.04063,23646.36803,15345473.83,NA,0.10068,0.3048,no test
12,34,1442891.543,123966.4745,186.9461514,NA,64284.16216,38341.18572,25942.97644,15156699.98,NA,0.10068,0.3048,no test
13,35,1438330.169,122604.5801,186.6203802,NA,70196.27601,42139.84011,28056.4359,14990188.63,NA,0.10068,0.3048,no test
14,36,1433783.215,121263.7118,186.0825626,NA,76073.19225,45926.48592,30146.70633,14826248.03,NA,0.10068,0.3048,no test
15,37,1429250.636,119943.3511,185.5045555,NA,81915.30316,49701.16111,32214.14205,14664814.77,NA,0.10068,0.3048,no test
16,38,1424732.385,118643.1232,184.9201402,NA,87722.995,53463.90352,34259.09148,14505843.05,NA,0.10068,0.3048,no test
17,39,1420228.417,117362.6863,184.3359534,NA,93496.6481,57214.75088,36281.89722,14349291.07,NA,0.10068,0.3048,no test
18,40,1413805.092,115859.5321,183.1689505,NA,101412.2764,62888.36173,38523.91471,14165508.65,NA,0.10068,0.3048,no test
19,41,1407410.818,114381.4607,182.2751364,NA,109273.5521,68536.31232,40737.23974,13984792.99,NA,0.10068,0.3048,no test
20,42,1401045.464,112928.2203,181.437925,NA,117081.0746,74158.71868,42922.35592,13807113.26,NA,0.10068,0.3048,no test
0,22,1503942.74,102704.939,20415.41931,25334.04585,4406.901789,4406.901789,0,12557168.81,1013.361834,0.10068,0.3048,HIV RDT
1,23,1476218.358,101468.2186,40257.8741,NA,13525.54891,13525.54891,0,12405961.8,NA,0.10068,0.3048,HIV RDT
2,24,1473860.193,131724.898,8050.399456,NA,17820.09606,15102.15455,2717.941514,16105279.81,NA,0.10068,0.3048,HIV RDT
3,25,1471085.505,136464.7543,1736.425994,NA,22156.58069,17096.75313,5059.827562,16684796,NA,0.10068,0.3048,HIV RDT
4,26,1468316.042,136157.4912,494.5003389,NA,26462.93651,19087.59668,7375.339829,16647228.63,NA,0.10068,0.3048,HIV RDT
5,27,1465551.792,134877.3275,249.9887123,NA,30739.58826,21074.69227,9664.895982,16490710.04,NA,0.10068,0.3048,HIV RDT
6,28,1462792.746,133425.1281,201.6181695,NA,34986.9537,23058.04696,11928.90674,16313157.6,NA,0.10068,0.3048,HIV RDT
7,29,1460038.894,131958.0615,191.8191298,NA,39205.44376,25037.66779,14167.77597,16133787.43,NA,0.10068,0.3048,HIV RDT
8,30,1456593.198,130305.4709,189.2407636,NA,44293.22818,27710.95958,16582.26859,15931734.25,NA,0.10068,0.3048,HIV RDT
9,31,1453155.635,128679.6153,188.376788,NA,49344.46226,30377.9424,18966.51985,15732949.81,NA,0.10068,0.3048,HIV RDT
10,32,1449726.183,127081.356,187.85027,NA,54359.68067,33038.63113,21321.04954,15537539.43,NA,0.10068,0.3048,HIV RDT
11,33,1446304.826,125510.4573,187.3908527,NA,59339.40866,35693.04063,23646.36803,15345474.27,NA,0.10068,0.3048,HIV RDT
12,34,1442891.543,123966.4752,186.9454506,NA,64284.16216,38341.18572,25942.97644,15156700.07,NA,0.10068,0.3048,HIV RDT
13,35,1438330.169,122604.5802,186.6202424,NA,70196.27601,42139.84011,28056.4359,14990188.64,NA,0.10068,0.3048,HIV RDT
14,36,1433783.215,121263.7118,186.0825355,NA,76073.19225,45926.48592,30146.70633,14826248.03,NA,0.10068,0.3048,HIV RDT
15,37,1429250.636,119943.3511,185.5045501,NA,81915.30316,49701.16111,32214.14205,14664814.78,NA,0.10068,0.3048,HIV RDT
16,38,1424732.385,118643.1232,184.9201391,NA,87722.995,53463.90352,34259.09148,14505843.05,NA,0.10068,0.3048,HIV RDT
17,39,1420228.417,117362.6863,184.3359532,NA,93496.6481,57214.75088,36281.89722,14349291.07,NA,0.10068,0.3048,HIV RDT
18,40,1413805.092,115859.5321,183.1689505,NA,101412.2764,62888.36173,38523.91471,14165508.65,NA,0.10068,0.3048,HIV RDT
19,41,1407410.818,114381.4607,182.2751364,NA,109273.5521,68536.31232,40737.23974,13984792.99,NA,0.10068,0.3048,HIV RDT
20,42,1401045.464,112928.2203,181.437925,NA,117081.0746,74158.71868,42922.35592,13807113.26,NA,0.10068,0.3048,HIV RDT
0,22,1503942.74,102704.939,20415.41931,15803.58891,4406.901789,4406.901789,0,12557168.81,632.1435565,0.10068,0.3048,HIV-syph dual RDT
1,23,1476218.358,101468.2186,40257.8741,NA,13525.54891,13525.54891,0,12405961.8,NA,0.10068,0.3048,HIV-syph dual RDT
2,24,1473860.193,131724.898,8050.399456,NA,17820.09606,15102.15455,2717.941514,16105279.81,NA,0.10068,0.3048,HIV-syph dual RDT
3,25,1471085.505,136464.7543,1736.425994,NA,22156.58069,17096.75313,5059.827562,16684796,NA,0.10068,0.3048,HIV-syph dual RDT
4,26,1468316.042,136157.4912,494.5003389,NA,26462.93651,19087.59668,7375.339829,16647228.63,NA,0.10068,0.3048,HIV-syph dual RDT
5,27,1465551.792,134877.3275,249.9887123,NA,30739.58826,21074.69227,9664.895982,16490710.04,NA,0.10068,0.3048,HIV-syph dual RDT
6,28,1462792.746,133425.1281,201.6181695,NA,34986.9537,23058.04696,11928.90674,16313157.6,NA,0.10068,0.3048,HIV-syph dual RDT
7,29,1460038.894,131958.0615,191.8191298,NA,39205.44376,25037.66779,14167.77597,16133787.43,NA,0.10068,0.3048,HIV-syph dual RDT
8,30,1456593.198,130305.4709,189.2407636,NA,44293.22818,27710.95958,16582.26859,15931734.25,NA,0.10068,0.3048,HIV-syph dual RDT
9,31,1453155.635,128679.6153,188.376788,NA,49344.46226,30377.9424,18966.51985,15732949.81,NA,0.10068,0.3048,HIV-syph dual RDT
10,32,1449726.183,127081.356,187.85027,NA,54359.68067,33038.63113,21321.04954,15537539.43,NA,0.10068,0.3048,HIV-syph dual RDT
11,33,1446304.826,125510.4573,187.3908527,NA,59339.40866,35693.04063,23646.36803,15345474.27,NA,0.10068,0.3048,HIV-syph dual RDT
12,34,1442891.543,123966.4752,186.9454506,NA,64284.16216,38341.18572,25942.97644,15156700.07,NA,0.10068,0.3048,HIV-syph dual RDT
13,35,1438330.169,122604.5802,186.6202424,NA,70196.27601,42139.84011,28056.4359,14990188.64,NA,0.10068,0.3048,HIV-syph dual RDT
14,36,1433783.215,121263.7118,186.0825355,NA,76073.19225,45926.48592,30146.70633,14826248.03,NA,0.10068,0.3048,HIV-syph dual RDT
15,37,1429250.636,119943.3511,185.5045501,NA,81915.30316,49701.16111,32214.14205,14664814.78,NA,0.10068,0.3048,HIV-syph dual RDT
16,38,1424732.385,118643.1232,184.9201391,NA,87722.995,53463.90352,34259.09148,14505843.05,NA,0.10068,0.3048,HIV-syph dual RDT
17,39,1420228.417,117362.6863,184.3359532,NA,93496.6481,57214.75088,36281.89722,14349291.07,NA,0.10068,0.3048,HIV-syph dual RDT
18,40,1413805.092,115859.5321,183.1689505,NA,101412.2764,62888.36173,38523.91471,14165508.65,NA,0.10068,0.3048,HIV-syph dual RDT
19,41,1407410.818,114381.4607,182.2751364,NA,109273.5521,68536.31232,40737.23974,13984792.99,NA,0.10068,0.3048,HIV-syph dual RDT
20,42,1401045.464,112928.2203,181.437925,NA,117081.0746,74158.71868,42922.35592,13807113.26,NA,0.10068,0.3048,HIV-syph dual RDT